t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1647501692,211,535,29.592417,1,61.251198,10.000000,19.000000,134.600000,246.000000,381.240000,535.000000
1647501722,212,535,29.476415,1,61.129219,10.000000,19.000000,134.400000,244.500000,380.510000,535.000000
1647501752,223,535,28.206278,1,59.859163,9.000000,18.000000,132.400000,228.000000,372.480000,535.000000
1647501782,224,535,28.111607,1,59.741604,9.000000,18.000000,132.250000,226.500000,371.750000,535.000000
1647501812,226,535,27.938053,1,59.503992,9.000000,18.000000,131.950000,223.500000,370.290000,535.000000
1647501842,231,535,27.740260,1,58.944573,9.000000,18.000000,131.200000,216.000000,366.640000,535.000000
1647501872,233,535,27.570815,1,58.718612,9.000000,18.000000,130.900000,213.000000,365.180000,535.000000
1647501902,244,535,27.709016,1,58.268936,9.000000,18.000000,132.250000,196.500000,357.150000,535.000000
1647501932,246,535,27.536585,1,58.062007,9.000000,18.000000,131.950000,193.500000,355.690000,535.000000
1647501962,247,535,27.453441,1,57.958606,9.000000,18.000000,131.800000,192.000000,354.960000,535.000000
1647501992,249,535,27.285141,1,57.755001,9.000000,18.000000,131.500000,189.000000,353.500000,535.000000
1647502022,250,535,27.208000,1,57.651814,9.000000,18.000000,131.350000,188.720000,352.770000,535.000000
1647502052,252,535,27.043651,1,57.451193,9.000000,18.000000,131.050000,188.160000,351.310000,535.000000
1647502082,253,535,26.956522,1,57.353835,9.000000,18.000000,130.900000,187.880000,350.580000,535.000000
1647502112,255,535,26.792157,1,57.157607,9.000000,18.000000,130.600000,187.320000,349.120000,535.000000
1647502142,256,535,26.710938,1,57.060223,9.000000,17.750000,130.450000,187.040000,348.390000,535.000000
1647502172,258,535,26.546512,1,56.868335,9.000000,17.250000,130.150000,186.480000,346.930000,535.000000
1647502202,259,535,26.467181,1,56.772375,9.000000,17.000000,130.000000,186.200000,346.200000,535.000000
1647502232,261,535,26.310345,1,56.581930,9.000000,17.000000,129.400000,185.640000,344.740000,535.000000
1647502262,262,535,26.240458,1,56.484760,9.000000,17.000000,129.100000,185.360000,344.010000,535.000000
1647502292,264,535,26.102273,1,56.292495,9.000000,17.000000,128.500000,184.800000,342.550000,535.000000
1647502322,265,535,26.022642,1,56.200731,9.000000,17.000000,128.200000,184.520000,341.820000,535.000000
1647502352,267,535,25.868914,1,56.017130,9.000000,17.000000,127.600000,183.960000,340.360000,535.000000
1647502382,268,535,25.802239,1,55.922784,9.000000,17.000000,127.300000,183.680000,339.630000,535.000000
1647502412,270,535,25.662963,1,55.737913,8.500000,17.000000,126.700000,183.120000,338.170000,535.000000
1647502442,271,535,25.594096,1,55.646149,8.000000,17.000000,126.400000,182.840000,337.440000,535.000000
1647502472,273,535,25.450549,1,55.466524,8.000000,17.000000,125.800000,182.280000,335.980000,535.000000
1647502502,274,535,25.375912,1,55.378626,8.000000,17.000000,125.500000,182.000000,335.250000,535.000000
1647502532,279,535,25.003584,1,54.949388,8.000000,17.000000,124.000000,180.600000,331.600000,535.000000
1647502562,281,535,24.967972,1,54.763802,8.000000,17.000000,123.800000,180.040000,330.140000,535.000000
1647502592,297,535,24.393939,1,53.702412,8.000000,17.000000,122.200000,175.560000,318.460000,535.000000
1647502622,298,535,24.328859,1,53.623697,8.000000,17.000000,122.100000,175.280000,317.730000,535.000000
1647502652,307,535,23.820847,1,52.932290,8.000000,17.000000,118.000000,173.560000,312.760000,535.000000
1647502682,321,535,22.947040,1,51.927416,8.000000,16.000000,111.900000,171.040000,305.340000,535.000000
1647502712,323,535,22.848297,1,51.781060,8.000000,16.000000,111.800000,170.680000,304.280000,535.000000
1647502742,324,535,22.805556,1,51.706565,8.000000,15.750000,111.750000,170.500000,303.750000,535.000000
1647502772,326,535,22.702454,1,51.563975,8.000000,15.250000,111.650000,170.140000,302.690000,535.000000
1647502802,327,535,22.648318,1,51.494134,8.000000,15.000000,111.600000,169.960000,302.160000,535.000000
1647502832,329,535,22.547112,1,51.353317,8.000000,15.000000,111.500000,169.600000,301.100000,535.000000
1647502862,330,535,22.493939,1,51.284311,7.500000,15.000000,111.450000,169.420000,300.570000,535.000000
1647502892,332,535,22.394578,1,51.145114,7.000000,14.750000,111.350000,169.060000,299.510000,535.000000
1647502922,334,535,22.281437,1,51.012556,7.000000,14.250000,111.250000,168.700000,298.450000,535.000000
1647502952,343,535,22.615160,1,51.567057,7.000000,14.000000,111.800000,176.680000,293.680000,535.000000
1647502982,344,535,22.563953,1,51.500590,7.000000,14.000000,111.750000,176.400000,293.150000,535.000000
1647503012,346,535,22.468208,1,51.366547,7.000000,14.000000,111.650000,175.840000,292.090000,535.000000
1647503042,347,535,22.417867,1,51.300836,7.000000,14.000000,111.600000,175.560000,291.560000,535.000000
1647503072,349,535,22.323782,1,51.168316,7.000000,14.000000,111.500000,175.000000,290.500000,535.000000
1647503102,350,535,22.271429,1,51.104343,7.000000,14.000000,111.450000,174.820000,289.970000,535.000000
1647503132,352,535,22.184659,1,50.971558,7.000000,14.000000,111.350000,174.460000,288.910000,535.000000
1647503162,353,535,22.135977,1,50.907321,7.000000,14.000000,111.300000,174.280000,288.380000,535.000000
1647503192,355,535,22.045070,1,50.777717,7.000000,14.000000,111.200000,173.920000,287.320000,535.000000
1647503222,356,535,22.000000,1,50.713279,7.000000,13.750000,111.150000,173.740000,286.790000,535.000000
1647503252,358,535,21.902235,1,50.587904,7.000000,13.250000,111.050000,173.380000,285.730000,535.000000
1647503282,359,535,21.855153,1,50.525077,7.000000,13.000000,111.000000,173.200000,285.200000,535.000000
1647503312,361,535,21.761773,1,50.400108,7.000000,13.000000,109.700000,172.840000,284.140000,535.000000
1647503342,362,535,21.715470,1,50.337963,7.000000,13.000000,109.050000,172.660000,283.610000,535.000000
1647503372,364,535,21.634615,1,50.210916,7.000000,13.000000,107.750000,172.300000,282.550000,535.000000
1647503402,365,535,21.586301,1,50.150393,7.000000,13.000000,107.100000,172.120000,282.020000,535.000000
1647503432,367,535,21.493188,1,50.029165,7.000000,13.000000,105.800000,171.760000,280.960000,535.000000
1647503462,368,535,21.448370,1,49.968356,7.000000,13.000000,105.150000,171.580000,280.430000,535.000000
1647503493,370,535,21.362162,1,49.846634,7.000000,13.000000,103.850000,171.220000,279.370000,535.000000
1647503523,371,535,21.315364,1,49.787389,7.000000,13.000000,103.200000,171.040000,278.840000,535.000000
1647503553,373,535,21.230563,1,49.666960,7.000000,13.000000,101.900000,170.680000,277.780000,535.000000
1647503583,374,535,21.192513,1,49.605796,7.000000,13.000000,101.250000,170.500000,277.250000,535.000000
1647503613,376,535,21.109043,1,49.486659,7.000000,13.000000,99.950000,170.140000,276.190000,535.000000
1647503643,377,535,21.068966,1,49.426934,7.000000,13.000000,99.300000,169.960000,275.660000,535.000000
1647503673,379,535,20.978892,1,49.311552,7.000000,13.000000,98.000000,169.600000,274.600000,535.000000
1647503703,380,535,20.939474,1,49.252449,7.000000,12.750000,97.950000,169.420000,274.070000,535.000000
1647503733,382,535,20.853403,1,49.137383,7.000000,12.250000,97.850000,169.060000,273.010000,535.000000
1647503763,383,535,20.809399,1,49.080580,7.000000,12.000000,97.800000,168.880000,272.480000,535.000000
1647503793,385,535,20.722078,1,48.967550,7.000000,12.000000,97.700000,168.520000,271.420000,535.000000
1647503823,386,535,20.683938,1,48.909655,7.000000,12.000000,97.650000,168.340000,270.890000,535.000000
1647503853,392,535,20.959184,1,48.694132,7.000000,13.000000,97.350000,167.260000,267.710000,535.000000
1647503883,396,535,21.616162,1,49.220343,7.000000,13.000000,99.950000,172.180000,265.590000,535.000000
1647503913,398,535,21.540201,1,49.107881,7.000000,13.000000,98.650000,172.060000,264.530000,535.000000
1647503943,399,535,21.496241,1,49.054009,7.000000,13.000000,98.000000,172.000000,264.000000,535.000000
1647503973,402,535,21.368159,1,48.892970,7.000000,13.000000,97.850000,171.640000,262.680000,535.000000
1647504003,403,535,21.327543,1,48.838926,7.000000,13.000000,97.800000,171.520000,262.240000,535.000000
1647504033,405,535,21.244444,1,48.732214,7.000000,13.000000,97.700000,171.280000,261.360000,535.000000
1647504063,406,535,21.204433,1,48.678690,7.000000,13.000000,97.650000,171.160000,260.920000,535.000000
1647504093,408,535,21.120098,1,48.573840,7.000000,12.750000,97.550000,170.920000,260.040000,535.000000
1647504123,409,535,21.127139,1,48.514486,7.000000,13.000000,97.500000,170.800000,259.600000,535.000000
1647504153,413,535,20.951574,1,48.311565,7.000000,12.500000,97.300000,170.320000,257.840000,535.000000
1647504183,414,535,20.910628,1,48.260233,7.000000,12.250000,97.250000,170.200000,257.400000,535.000000
1647504213,416,535,20.834135,1,48.156411,7.000000,12.000000,97.150000,169.960000,256.520000,535.000000
1647504243,417,535,20.793765,1,48.105560,7.000000,12.000000,97.100000,169.840000,256.080000,535.000000
1647504273,419,535,20.718377,1,48.002760,7.000000,12.000000,97.000000,169.600000,255.200000,535.000000
1647504303,420,535,20.680952,1,47.951578,7.000000,12.000000,96.950000,169.480000,254.760000,535.000000
1647504333,422,535,20.609005,1,47.848943,7.000000,12.000000,96.850000,169.240000,253.880000,535.000000
1647504363,423,535,20.572104,1,47.798242,7.000000,12.000000,96.800000,169.120000,253.440000,535.000000
1647504393,425,535,20.496471,1,47.698103,7.000000,12.000000,96.700000,168.880000,252.560000,535.000000
1647504423,426,535,20.457746,1,47.648659,7.000000,12.000000,96.650000,168.760000,252.120000,535.000000
1647504453,428,535,20.411215,1,47.543290,7.000000,12.000000,96.550000,168.520000,251.240000,535.000000
1647504483,429,535,20.379953,1,47.492131,7.000000,12.000000,96.500000,168.400000,250.800000,535.000000
1647504513,431,535,20.315545,1,47.391273,7.000000,12.000000,96.400000,168.160000,249.920000,535.000000
1647504543,432,535,20.277778,1,47.342771,7.000000,12.000000,96.350000,168.040000,249.480000,535.000000
1647504573,434,535,20.202765,1,47.246202,7.000000,12.000000,96.250000,167.800000,248.600000,535.000000
1647504603,435,535,20.167816,1,47.197368,7.000000,12.000000,96.200000,167.680000,248.160000,535.000000
1647504633,437,535,20.098398,1,47.100146,7.000000,12.000000,96.100000,167.440000,247.280000,535.000000
1647504663,438,535,20.061644,1,47.052513,7.000000,12.000000,96.050000,167.320000,246.840000,535.000000
1647504693,440,535,19.990909,1,46.956917,7.000000,12.000000,95.950000,167.080000,245.960000,535.000000
1647504723,441,535,19.956916,1,46.908959,7.000000,12.000000,95.900000,166.960000,245.520000,535.000000
1647504753,443,535,19.887133,1,46.814217,7.000000,12.000000,95.800000,166.720000,244.640000,535.000000
1647504783,444,535,19.853604,1,46.766687,7.000000,12.000000,95.750000,166.600000,244.200000,535.000000
1647504813,446,535,19.786996,1,46.672051,6.500000,12.000000,95.650000,166.360000,243.320000,535.000000
1647504843,447,535,19.751678,1,46.625678,6.000000,12.000000,95.600000,166.240000,242.880000,535.000000
1647504873,449,535,19.683742,1,46.532609,6.000000,11.500000,95.500000,166.000000,242.000000,535.000000
1647504903,450,535,19.648889,1,46.486642,6.000000,11.250000,95.450000,165.680000,241.560000,535.000000
1647504933,452,535,19.586283,1,46.393087,6.000000,11.000000,95.350000,165.040000,240.680000,535.000000
1647504963,453,535,19.556291,1,46.346135,6.000000,11.000000,95.300000,164.720000,240.240000,535.000000
1647504993,455,535,19.496703,1,46.252700,6.000000,11.000000,95.200000,164.080000,239.360000,535.000000
1647505023,456,535,19.462719,1,46.207543,6.000000,11.000000,95.150000,163.760000,238.920000,535.000000
1647505053,458,535,19.406114,1,46.114558,6.000000,11.000000,95.050000,163.120000,238.040000,535.000000
1647505083,459,535,19.374728,1,46.069094,6.000000,11.000000,95.000000,162.800000,237.600000,535.000000
1647505113,461,535,19.308026,1,45.979964,6.000000,11.000000,94.900000,162.160000,236.720000,535.000000
1647505143,462,535,19.274892,1,45.935588,6.000000,11.000000,94.850000,161.840000,236.280000,535.000000
1647505173,464,535,19.209052,1,45.847214,6.000000,11.000000,94.750000,161.200000,235.400000,535.000000
1647505203,465,535,19.180645,1,45.801879,6.000000,11.000000,94.700000,160.880000,234.960000,535.000000
1647505233,467,535,19.119914,1,45.712887,6.000000,11.000000,94.600000,160.240000,234.080000,535.000000
1647505263,468,535,19.089744,1,45.668582,6.000000,11.000000,94.550000,159.920000,233.640000,535.000000
1647505293,470,535,19.025532,1,45.581710,6.000000,11.000000,94.450000,159.280000,232.760000,535.000000
1647505323,471,535,18.993631,1,45.538457,6.000000,11.000000,94.400000,158.960000,232.320000,535.000000
1647505353,473,535,18.930233,1,45.452310,6.000000,11.000000,94.300000,158.320000,231.440000,535.000000
1647505383,474,535,18.900844,1,45.408746,6.000000,11.000000,94.250000,158.000000,231.000000,535.000000
1647505413,476,535,18.838235,1,45.323319,6.000000,11.000000,94.150000,157.360000,230.120000,535.000000
1647505443,477,535,18.811321,1,45.279501,6.000000,11.000000,94.100000,157.040000,229.680000,535.000000
1647505473,479,535,18.749478,1,45.194788,6.000000,11.000000,94.000000,156.400000,228.800000,535.000000
1647505503,480,535,18.722917,1,45.151338,6.000000,11.000000,93.900000,156.080000,228.360000,535.000000
1647505533,482,535,18.661826,1,45.067330,6.000000,11.000000,93.700000,155.440000,227.480000,535.000000
1647505563,483,535,18.631470,1,45.025498,6.000000,11.000000,93.600000,155.120000,227.040000,535.000000
1647505593,485,535,18.575258,1,44.940928,6.000000,11.000000,93.400000,154.480000,226.160000,535.000000
1647505623,486,535,18.547325,1,44.898796,6.000000,11.000000,93.300000,154.160000,225.720000,535.000000
1647505653,488,535,18.495902,1,44.813737,6.000000,10.750000,93.100000,153.520000,224.840000,535.000000
1647505683,489,535,18.468303,1,44.771958,6.000000,10.500000,93.000000,153.200000,224.400000,535.000000
1647505713,491,535,18.419552,1,44.687020,6.000000,10.000000,92.800000,152.560000,223.520000,535.000000
1647505743,492,535,18.396341,1,44.644459,6.000000,10.000000,92.700000,152.240000,223.080000,535.000000
1647505773,494,535,18.340081,1,44.562577,6.000000,10.000000,92.500000,151.600000,222.200000,535.000000
1647505803,495,535,18.339394,1,44.517453,6.000000,10.000000,92.400000,151.280000,221.760000,535.000000
1647505833,497,535,18.281690,1,44.436902,6.000000,10.000000,92.200000,150.640000,220.880000,535.000000
1647505863,498,535,18.255020,1,44.396164,6.000000,10.000000,92.100000,150.320000,220.440000,535.000000
1647505893,500,535,18.202000,1,44.315063,6.000000,10.000000,91.700000,149.880000,219.690000,535.000000
1647505923,501,535,18.177645,1,44.274082,6.000000,10.000000,91.400000,149.760000,219.380000,535.000000
1647505953,503,535,18.121272,1,44.194824,6.000000,10.000000,90.800000,149.520000,218.760000,535.000000
1647505983,504,535,18.095238,1,44.154739,6.000000,10.000000,90.500000,149.400000,218.450000,535.000000
1647506013,506,535,18.043478,1,44.074937,6.000000,10.000000,89.900000,149.160000,217.830000,535.000000
1647506043,507,535,18.017751,1,44.035174,6.000000,10.000000,89.600000,149.040000,217.520000,535.000000
1647506073,509,535,17.964637,1,43.956568,6.000000,10.000000,89.000000,148.800000,216.900000,535.000000
1647506103,510,535,17.937255,1,43.917721,6.000000,10.000000,88.700000,148.680000,216.590000,535.000000
1647506133,512,535,17.882813,1,43.840330,6.000000,10.000000,88.100000,148.440000,215.970000,535.000000
1647506163,513,535,17.855750,1,43.801785,6.000000,10.000000,87.800000,148.320000,215.660000,535.000000
1647506193,515,535,17.801942,1,43.724994,6.000000,10.000000,87.200000,148.080000,215.040000,535.000000
1647506223,516,535,17.775194,1,43.686747,6.000000,10.000000,86.900000,147.960000,214.730000,535.000000
1647506254,518,535,17.725869,1,43.609421,6.000000,10.000000,86.300000,147.720000,214.110000,535.000000
1647506284,519,535,17.699422,1,43.571472,6.000000,10.000000,86.000000,147.600000,213.800000,535.000000
1647506314,521,535,17.646833,1,43.495867,6.000000,10.000000,85.600000,147.360000,213.180000,535.000000
1647506344,522,535,17.622605,1,43.457629,6.000000,10.000000,85.400000,147.240000,212.870000,535.000000
1647506374,524,535,17.576336,1,43.380921,6.000000,10.000000,85.000000,147.000000,212.250000,535.000000
1647506404,525,535,17.550476,1,43.343557,6.000000,10.000000,84.800000,146.880000,211.940000,535.000000
1647506434,527,535,17.500949,1,43.268543,6.000000,10.000000,84.400000,146.640000,211.320000,535.000000
1647506464,528,535,17.475379,1,43.231465,6.000000,10.000000,84.200000,146.520000,211.010000,535.000000
1647506494,530,535,17.426415,1,43.157023,6.000000,10.000000,83.800000,146.280000,210.390000,535.000000
1647506524,531,535,17.401130,1,43.120226,6.000000,10.000000,83.600000,146.160000,210.080000,535.000000
1647506554,533,535,17.352720,1,43.046349,6.000000,10.000000,83.200000,145.920000,209.460000,535.000000
1647506584,534,535,17.327715,1,43.009830,6.000000,10.000000,83.000000,145.800000,209.150000,535.000000
1647506614,536,535,17.277985,1,42.937067,6.000000,10.000000,82.600000,145.560000,208.530000,535.000000
1647506644,537,535,17.253259,1,42.900822,6.000000,10.000000,82.400000,145.440000,208.220000,535.000000
1647506674,539,535,17.209647,1,42.827078,6.000000,10.000000,82.000000,145.200000,207.600000,535.000000
1647506704,540,535,17.187037,1,42.790557,6.000000,10.000000,81.950000,145.080000,207.290000,535.000000
1647506734,542,535,17.142066,1,42.717792,6.000000,10.000000,81.850000,144.840000,206.670000,535.000000
1647508062,544,535,17.101103,1,42.644434,6.000000,10.000000,81.750000,144.600000,206.050000,535.000000
1647508092,545,535,17.080734,1,42.607875,6.000000,10.000000,81.700000,144.480000,205.740000,535.000000
1647508122,547,535,17.036563,1,42.536028,6.000000,10.000000,81.600000,144.240000,205.120000,535.000000
1647508152,548,535,17.014599,1,42.500239,6.000000,9.750000,81.550000,144.120000,204.810000,535.000000
1647508182,550,535,16.970909,1,42.428930,6.000000,9.250000,81.450000,143.940000,204.190000,535.000000
1647508212,551,535,16.950998,1,42.392917,6.000000,9.000000,81.400000,143.880000,203.880000,535.000000
1647508242,553,535,16.911392,1,42.321164,6.000000,9.000000,81.300000,143.760000,203.260000,535.000000
1647508272,554,535,16.895307,1,42.284576,6.000000,9.000000,81.250000,143.700000,202.950000,535.000000
